ParentLocation,Location,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
Western Pacific,Australia,7.45,6.92,7.97
Western Pacific,Marshall Islands,7.46,3.24,15.74
Western Pacific,Marshall Islands,7.46,3.24,15.74
Western Pacific,Micronesia (Federated States of),7.46,3.54,15.4
Americas,Dominican Republic,7.46,4.91,10.6
Western Pacific,Australia,7.46,6.95,8.02
Western Pacific,Australia,7.47,6.94,8.05
Western Pacific,Cook Islands,7.49,3.23,16.98
Western Pacific,Cook Islands,7.49,3.23,16.98
Western Pacific,Brunei Darussalam,7.49,6.27,9.1
Europe,Sweden,7.49,7.2,7.82
Americas,Saint Kitts and Nevis,7.51,5.57,10.78
Americas,Saint Kitts and Nevis,7.51,5.57,10.78
Western Pacific,Kiribati,7.54,3.26,15.32
Western Pacific,Samoa,7.56,2.99,18.95
Europe,Iceland,7.6,6.87,8.42
Europe,Estonia,7.61,6.86,8.44
Western Pacific,Brunei Darussalam,7.62,6.36,9.32
Americas,Dominican Republic,7.63,4.98,10.93
Western Pacific,New Zealand,7.65,7.13,8.27
Western Pacific,New Zealand,7.67,7.24,8.16
Europe,Estonia,7.69,7.05,8.43
Western Pacific,Micronesia (Federated States of),7.71,3.59,15.91
Western Pacific,Micronesia (Federated States of),7.71,3.59,15.91
Americas,Canada,7.71,7.51,7.92
Western Pacific,Palau,7.75,2.87,17.43
Europe,Estonia,7.76,7.14,8.55
Western Pacific,New Zealand,7.76,7.3,8.28
Western Pacific,Palau,7.78,2.88,17.45
Europe,Finland,7.78,7.22,8.36
Americas,Dominica,7.8,5.5,11.75
Western Pacific,Brunei Darussalam,7.8,6.2,9.9
Western Pacific,Fiji,7.82,4.34,13.37
Western Pacific,Fiji,7.82,4.34,13.37
Americas,Dominican Republic,7.82,4.98,11.42
Western Pacific,Samoa,7.84,3.13,19.1
Western Pacific,Samoa,7.84,3.13,19.1
Americas,United States of America,7.89,7.75,8.04
Western Pacific,Kiribati,7.9,3.47,15.05
Western Pacific,Kiribati,7.9,3.47,15.05
Western Pacific,Solomon Islands,7.91,2.73,15.02
Americas,Saint Kitts and Nevis,7.91,6.04,11.02
Western Pacific,Palau,7.92,2.97,17.55
Western Pacific,Palau,7.92,2.97,17.55
Europe,Sweden,7.93,7.57,8.31
Americas,Saint Kitts and Nevis,7.94,6.07,11.02
Western Pacific,New Zealand,7.94,7.47,8.44
Europe,Tajikistan,71.5,48.38,102.9
Europe,Tajikistan,71.81,46.47,105.2
Europe,Tajikistan,75.7,51.27,109
Western Pacific,Mongolia,77.68,55.64,103
Western Pacific,Vanuatu,8.01,2.98,18.75
Americas,Antigua and Barbuda,8.02,5.68,11.81
Americas,Dominica,8.12,5.66,12.26
Americas,Canada,8.14,7.91,8.36
Western Pacific,Vanuatu,8.19,3.16,18.87
Western Pacific,Brunei Darussalam,8.19,6.74,10.22
Americas,Antigua and Barbuda,8.2,5.83,11.9
Europe,Norway,8.21,7.73,8.61
Western Pacific,Solomon Islands,8.23,2.88,15.35
Americas,Dominica,8.28,5.73,12.51
Americas,Dominica,8.28,5.73,12.51
Western Pacific,Papua New Guinea,8.29,2.97,20.51
Western Pacific,Solomon Islands,8.31,2.9,15.47
Americas,Antigua and Barbuda,8.33,5.9,11.97
Americas,Antigua and Barbuda,8.33,5.9,11.97
Western Pacific,Papua New Guinea,8.39,2.98,20.78
Americas,Canada,8.39,8.14,8.62
Europe,Norway,8.5,8.09,8.85
Europe,Portugal,8.52,7.98,9.04
Europe,Ireland,8.55,7.82,9.28
Western Pacific,Vanuatu,8.64,3.31,19.16
Western Pacific,Vanuatu,8.64,3.31,19.16
Americas,Saint Vincent and the Grenadines,8.7,6.03,11.82
Western Pacific,Papua New Guinea,8.73,3.21,22.08
Americas,Saint Lucia,8.76,6.43,12.09
Americas,Saint Lucia,8.76,6.43,12.09
Americas,Uruguay,8.8,5.83,12.8
Americas,Saint Lucia,8.81,6.39,12.15
Americas,Saint Lucia,8.84,6.43,12.19
Americas,United States of America,8.85,8.67,8.99
